text,label,置信度
跃马扬鞭，马不停蹄，一起为梦想奋斗！2026逐梦中国,0,0.9762974977493286
新年快乐很开心！很幸福！耶！,0,0.9842464923858643
新年快乐一起越来越好，成为更好福气小子来到,0,0.9843383431434631
拍了两天打戏，四肢已经不是自己的了，滑行代步张婧仪的微博视频,2,0.7079189419746399
先成为完整的自己，再遇见同频的你我。1月23日，兰蔻超修小黑瓶精华情人节特别呈现先是我，再是你我，我们的故事，等你来看。兰蔻LANCOME的微博视频,0,0.9677253365516663
晚上好，下班啦张婧仪的微博视频,0,0.6972958445549011
碎片记忆VenIsland,2,0.7979078888893127
感觉美好会发生,0,0.9689204692840576
2026啦！是很特别一天，明年我们继续可爱湖南卫视跨年演唱会打卡2026,0,0.9831346273422241
跨年直播不断电挑战张婧仪的微博直播,0,0.8779131174087524
非正式跨年派对2025又做了很多新尝试又去了很多新地方，又变得更好啦。2026我们一起继续一起往前跑吧,0,0.9845249056816101
非正式跨年派对年度闪光瞬间快来和我一起倒数，准备接住2026的第一份好彩吧张婧仪的微博视频,0,0.9750442504882812
碎片投递一下下,2,0.9234188199043274
冬天的小红帽,2,0.6752417087554932
湖南卫视跨年第四波阵容带上行李、带上期待、带上可爱，一起炽热出发！12月31日19:30，20252026湖南卫视跨年演唱会我们海口见！微博跨年狂欢节,0,0.975713849067688
今晚一起来这个暖舍趴康康,0,0.9691786766052246
跟随心意指引，与共赴美好新年，沉浸温暖相聚。Burberry2026新禧贺岁系列,0,0.9732305407524109
南京大屠杀惨案88周年勿忘国殇，吾辈自强！每12秒1条生命消逝勿忘历史,0,0.5098487734794617
快来微博非正式跨年派对收集我的2025年度瞬间，有机会获得隐藏小卡哦张婧仪的跨年小卡,0,0.8793394565582275
和老朋友欢聚一下T风格论坛欢迎夜T风格论坛,0,0.7932519316673279
一起来看小蝴蝶,0,0.9124836325645447
抓住阳光的一瞬间,0,0.8902007937431335
TODS澳门开幕盛典来澳门遇见了浪漫雪景，和一起解锁意式冬假！流连于澳门银河精品店的意式美学空间，感受匠心独具的意式优雅格调。TODS的微博视频,0,0.9698689579963684
致我那菜市场的白月光等待不是我的风格，我一定要主动去选择想要的生活。你好，我是任冬雪。致我那菜市场的白月光开机,0,0.9536994695663452
绝不允许日本军国主义复活历史的教训不能忘却，不可歪曲，更不容抹杀。,1,0.6199038028717041
ontheway明星V放送张婧仪的微博视频,0,0.8542717099189758
托斯卡纳艳阳下,2,0.7037269473075867
女孩的故事电影女孩,2,0.6780658960342407
海边吹吹风生日快乐ELLE风尚大典ELLE80周年庆生局,0,0.9711712002754211
梦花廷首发预告预言家在线查杀。任何人，都无法左右我的命运！梦花廷2026腾讯视频V视界梦花廷官微的微博视频,2,0.466623991727829
一路上碰到了好多美丽的夕阳,0,0.9838422536849976
台湾光复80周年台湾与祖国始终血脉相连。只有一个中国,0,0.9233685731887817
VOGUE盛典出发花絮起来了起来了出发了出发了,0,0.852321445941925
山下学堂八周年快乐！知也无涯，行以致远。,0,0.9818528294563293
喀什，大自然好美,0,0.9805666208267212
吃到了好吃的餐厅，遇到了二十岁的狗狗,0,0.9561100006103516
今晚看起来,2,0.6147688031196594
听说有个小仙子不一般中午12点入青云，来看撩人小天才明意，还有飞龙登场的不休,0,0.9047718048095703
Florence碰上了暖洋洋的几天,2,0.642768144607544
谢谢的邀请，圆在哪里，哪里就有团圆，祝你所得皆所愿，所愿皆圆满！圆圆圆圆中秋圆圆圆圆,0,0.9845671653747559
叽里咕噜碎碎念一下！张婧仪的微博视频,2,0.858984112739563
祝新中国生日快乐祖国万岁祝福伟大祖国繁荣昌盛，国富民强,0,0.9815324544906616
向烈士致敬致敬先烈，致敬英雄！盛世中国如你所愿,0,0.9769055843353271
走进TODS2026春夏系列时装秀，匠心叙事于眼前铺展，的意式优雅无处不在。,0,0.9523230195045471
永远如此灿烂！！！恭喜,0,0.9879329800605774
早啊，一起吃个早餐吧hello时装周,0,0.9262016415596008
我在微博直播开播啦，快来看看吧张婧仪的微博直播,0,0.8745061755180359
走进的时尚音乐空间，感受复古与先锋碰撞的伦敦风格。Burberry2026夏季系列网页链接,0,0.6896562576293945
勿忘九一八，铭记历史，缅怀先烈，吾辈自强！抗日5098天,0,0.9388035535812378
一起来听雨琦新歌,0,0.9284985065460205
玩徒报到！组队定向打卡完毕！徒步的风与现场的歌，都接住啦撒开了玩！Columbia玩徒派对玩徒派对都有谁在啊走进自然自然会玩,0,0.9536688923835754
自然好玩！,0,0.9780072569847107
野狗骨头野狗骨头正式杀青思念的人终究会重逢。苗靖，期待再见！,0,0.9798616170883179
藤城的夏天，会永远热烈野狗骨头野狗骨头正式杀青,0,0.9784665703773499
仪路相伴，见证彼此成长与焕新。很高兴解锁新身份太平鸟品牌代言人张婧仪，携手太平鸟共赴星光旅程，点亮品质时尚新篇章！太平鸟悦享品质时尚,0,0.9835582375526428
我去逛公园啦,2,0.8044135570526123
九三盛大阅兵，珍惜来之不易的和平，致敬伟大胜利！阅兵直播,0,0.9789031744003296
抵御初老，我就选这1瓶兰蔻超修小黑瓶精华1瓶抗老抗氧修红敏修愈3大初老痕迹淡纹焕亮褪红修护年轻，就这1瓶,0,0.6391360759735107
张婧仪的电台第十四期，我想带家人希望你们所有的愿望都会实现微博奇遇记张婧仪的微博视频,0,0.9723727107048035
日本投降80周年铭记历史、缅怀先烈、珍视和平！8月15日中国人必须铭记,0,0.8353772759437561
喀什喀什喀什游,2,0.7614809274673462
锦绣山河有你心安今天是八一建军节，致敬人民子弟兵！,0,0.9811068773269653
一条plog告别七月夏天夏天还没过去,1,0.6369057297706604
热热热，真好热，啊啊啊夏日青春派对,0,0.980042576789856
邂逅Burberry七夕佳礼系列，来自的英伦浪漫，令人怦然心动。Burberry的微博视频,0,0.9757120013237
好多花的一天,1,0.6693602800369263
又一年，往前走26,0,0.9675790071487427
回望历史，和平来之不易！让我们跟随七七事变纪录片一夜之间，重回那段烽火岁月。勿忘19370707致敬先烈，吾辈自强！,0,0.965803861618042
焕羽今日收官生活总在继续，不管是如愿还是遗憾，终究会成为过去，最重要的是未来。不止是乔青羽，也希望我们每一个人，都拥有自由而美好的未来焕羽,0,0.9786392450332642
乔青羽大胆的往前走吧焕羽,0,0.9342829585075378
今晚继续打包一份快乐焕羽大事鉴焕羽张婧仪等人的共创视频,0,0.9593994617462158
乔青羽的十七岁焕羽,2,0.7667744755744934
一家人就要整整齐齐焕羽大事鉴焕羽张婧仪等人的共创视频,0,0.9310577511787415
谢谢你明盛焕羽,0,0.9435322880744934
焕羽课间闲聊局课间时光，夏天的风吹来片刻清爽，来和乔青羽一起聊聊成长的心事吧！焕羽张婧仪的微博直播,0,0.9610657095909119
以后再也不让你为我操心了！焕羽,1,0.5254305005073547
你也很想飞向自由的天空吧焕羽,0,0.9706940650939941
焕羽和明盛在山顶许下的愿望一定都能实现的一见你就笑张婧仪的微博视频,0,0.9583162665367126
今晚月色很美焕羽张婧仪等人的共创视频,0,0.9727814793586731
今晚乔青羽开大请大家吃糖焕羽张婧仪的微博视频,2,0.6101827025413513
以预言之梦对抗天命，请君共饮缬罗花酒鹅厂2025大剧片单梦花廷,0,0.977769136428833
张婧仪周翊然回应CP感张婧仪也会躲被窝看言情小说新浪娱乐原创栏目友情研究所探班一见你就笑啦CP感上热搜，当事人表示来源于角色间的化学反应，当然也跟年纪相近、相处愉快有关原来张婧仪小时候也会躲在被窝里举着手电筒看言情小说，相同点1周翊然说杀青那天张婧仪飞奔送花确实有被击中还有张婧仪周翊然谈剧宣、张婧仪周翊然替角色号编辑微博更多精彩内容快来查看正片呀！现在召焕羽音通话娱情Lab的微博视频,0,0.880704939365387
第一章复仇焕羽,2,0.7716655731201172
面吃完了，该请你喝碗汤了。焕羽张婧仪的微博视频,2,0.6052362322807312
